OID,Shape_Length
973,4177.880771
974,4178.897097
975,4182.093198
976,4190.053112
977,4198.012996
978,4205.972962
979,4213.932862
980,4221.892817
981,4229.852709
982,4237.812692
983,4245.772574
984,4253.732541
985,4261.692441
986,4269.652415
987,4277.612318
988,4285.572281
989,4293.532184
990,4301.492168
991,4307.778874
992,4314.998185
993,4322.949012
994,4332.627991
995,4345.518294
996,4358.408449
997,4371.298762
998,4384.188978
999,4397.079159
1000,4409.969461
1001,4422.859623
1002,4435.749942
1003,4448.640135
1004,4461.530454
1005,4474.420703
1006,4487.310893
1007,4500.20124
1008,4513.091408
1009,4525.981769
1010,4538.872038
1011,4551.762224
1012,4564.652582
1013,4577.54279
1014,4590.433159
1015,4601.538123
1016,4608.74146
1017,4615.94488
1018,4623.148211
1019,4630.351623
1020,4637.555008
1021,4644.758342
1022,4651.961753
1023,4659.165114
1024,4666.836138
1025,4677.545787
1026,4684.761158
1027,4691.976478
1028,4699.191879
1029,4706.407241
1030,4713.622618
1031,4720.837987
1032,4728.053315
1033,4735.268732
1034,4740.328234
1035,4742.238869
1036,4744.149498
1037,4746.060134
1038,4747.970771
1039,4749.881399
1040,4751.792041
1041,4754.760833
1042,4757.55442
1043,4759.768191
1044,4761.981973
1045,4764.195794
1046,4766.409551
1047,4768.623349
1048,4770.837138
1049,4773.050952
1050,4775.264711
1051,4777.478516
1052,4779.69233
1053,4781.906087
1054,4784.119873
1055,4784.468384
1056,4784.114767
1057,4783.761141
1058,4783.407525
1059,4783.053899
1060,4782.70027
1061,4782.524125
1062,4784.38372
1063,4784.029968
1064,4783.676226
1065,4783.322486
1066,4782.968776
1067,4782.614983
1068,4782.261252
1069,4781.62222
1070,4780.272946
1071,4778.923648
1072,4777.574364
1073,4776.225085
1074,4774.875794
1075,4773.526498
1076,4772.177246
1077,4770.827939
1078,4769.478642
1079,4768.129361
1080,4766.780078
1081,4765.430788
1082,4764.526495
1083,4760.883501
1084,4755.733479
1085,4750.583461
1086,4745.433427
1087,4740.283422
1088,4735.133384
1089,4729.98336
1090,4724.833348
1091,4719.68332
1092,4714.533303
1093,4709.383253
1094,4704.233255
1095,4699.083228
1096,4693.93321
1097,4688.783177
1098,4683.633149
1099,4678.483132
1100,4673.333102
1101,4668.183087
1102,4664.059692
1103,4659.051506
1104,4653.899014
1105,4648.046048
1106,4639.097566
1107,4630.149123
1108,4621.20067
1109,4612.252208
1110,4603.303756
1111,4594.355313
1112,4585.406883
1113,4576.458405
1114,4567.509992
1115,4558.561546
1116,4549.784211
1117,4541.11689
1118,4532.449535
1119,4523.782219
1120,4515.114888
1121,4506.447578
1122,4497.780269
1123,4489.112935
1124,4480.445624
1125,4471.778296
1126,4463.110978
1127,4454.9733
1128,4449.866555
1129,4444.75977
1130,4439.652986
1131,4434.546249
1132,4429.439447
1133,4424.332706
1134,4419.225927
1135,4414.119149
1136,4409.012395
1137,4403.905612
1138,4398.736922
1139,4393.509103
1140,4388.281268
1141,4383.053401
1142,4377.825595
1143,4372.597733
1144,4367.369902
1145,4359.789144
1146,4350.75116
1147,4341.713153
1148,4332.675143
1149,4323.637153
1150,4314.599142
1151,4305.561166
1152,4298.075583
1153,4290.466036
1154,4281.41406
1155,4272.362135
1156,4263.310221
1157,4254.258348
1158,4245.206393
1159,4236.154487
1160,4227.10263
1161,4215.973012
1162,4195.412445
1163,4174.851888
1164,4154.291294
1165,4133.730769
1166,4113.1702
1167,4092.609592
1168,4072.049076
1169,4051.488478
1170,4030.927892
1171,4010.367259
1172,3989.806743
1173,3969.246129
1174,3948.68549
1175,3930.388312
1176,3914.237503
1177,3898.086708
1178,3881.935867
1179,3865.785129
1180,3849.634313
1181,3833.483442
1182,3817.332601
1183,3801.181825
1184,3785.030949
1185,3768.880061
1186,3752.729268
1187,3736.578391
1188,3720.42751
1189,3704.276576
1190,3688.125731
1191,3671.974874
1192,3655.823894
1193,3639.673066
1194,3623.522141
1195,3607.371224
1196,3591.220218
1197,3575.069344
1198,3562.956792
1199,3548.29469
1200,3532.094314
1201,3515.893929
1202,3499.830848
1203,3484.015523
1204,3468.200162
1205,3452.384804
1206,3436.569414
1207,3423.205411
1208,3413.435217
1209,3397.540317
1210,3381.645592
1211,3365.750768
1212,3349.855943
1213,3333.961017
1214,3318.066223
1215,3302.171368
1216,3302.056064
1217,3287.984203
1218,3271.91266
1219,3255.841091
1220,3239.769469
1221,3223.697886
1222,3207.626245
1223,3191.554549
1224,3175.482876
1225,3159.411219
1226,3143.339495
1227,3131.462266
1228,3143.992468
1229,3127.559485
1230,3111.126415
1231,3094.693468
1232,3091.443656
1233,3094.812694
1234,3098.181744
1235,3101.550812
1236,3104.919879
1237,3108.288922
1238,3104.046912
1239,3089.905701
1240,3083.789415
1241,3077.712462
1242,3071.635481
1243,3065.558508
1244,3059.481546
1245,3053.404575
1246,3047.327606
1247,3041.250651
1248,3035.173699
1249,3029.096736
1250,3022.696069
1251,3018.877562
1252,3012.790887
1253,3006.704199
1254,3001.144548
1255,2998.622669
1256,2996.100797
1257,2993.57892
1258,2991.057066
1259,2988.535196
1260,2982.664954
1261,2966.099844
1262,2949.534832
1263,2920.057797
1264,2902.734678
1265,2886.317335
1266,2869.900044
1267,2853.482734
1268,2837.065477
1269,2820.648103
1270,2804.230957
1271,2787.813742
1272,2771.3965
1273,2754.979452
1274,2738.562281
1275,2722.145205
1276,2705.728032
1277,2689.311055
1278,2672.893961
1279,2656.477057
1280,2640.060064
1281,2623.643068
1282,2607.226157
1283,2590.809296
1284,2574.39241
1285,2557.975595
1286,2541.558803
1287,2525.141992
1288,2508.725219
1289,2492.308498
1290,2475.891814
1291,2459.475113
1292,2447.559711
1293,2438.221588
1294,2428.883451
1295,2419.545325
1296,2410.207202
1297,2401.084486
1298,2392.666826
1299,2383.315442
1300,2373.964061
1301,2364.612697
1302,2351.575868
1303,2331.403562
1304,2311.231228
1305,2291.058869
1306,2270.886525
1307,2255.297766
1308,2247.063386
1309,2238.829082
1310,2230.594683
1311,2222.360304
1312,2214.126015
1313,2205.891522
1314,2197.657108
1315,2189.42261
1316,2181.188119
1317,2172.953655
1318,2162.340887
1319,2145.861582
1320,2129.382312
1321,2112.902962
1322,2096.423525
1323,2079.944247
1324,2063.464814
1325,2050.278315
1326,2033.937166
1327,2017.403718
1328,2000.870333
1329,1984.336745
1330,1967.803232
1331,1951.269801
1332,1929.751652
1333,1903.177765
1334,1876.603997
1335,1850.030236
1336,1824.10842
1337,1798.582596
1338,1771.960222
1339,1745.33778
1340,1718.715374
1341,1692.092913
1342,1667.210047
1343,1643.539373
1344,1619.868613
1345,1596.19792
1346,1568.626854
1347,1539.163622
1348,1509.700411
1349,1480.237216
1350,1455.022619
1351,1433.773716
1352,1412.494663
1353,1388.985517
1354,1364.060018
1355,1339.047753
1356,1319.787578
1357,1309.051045
1358,1298.31444
1359,1287.577821
1360,1276.841227
1361,1266.104514
1362,1255.367827
1363,1244.631174
1364,1233.8943
1365,1223.157602
1366,1208.25705
1367,1195.085345
1368,1180.768163
1369,1180.277623
1370,1184.784303
1371,1189.290967
1372,1193.797613
1373,1198.304285
1374,1202.810922
1375,1206.41152
1376,1211.360523
1377,1217.97486
1378,1224.589184
1379,1231.203547
1380,1237.817846
1381,1244.432174
1382,1251.046502
1383,1257.0475
1384,1262.936207
1385,1267.833055
1386,1272.729936
1387,1277.626779
1388,1282.523646
1389,1287.420508
1390,1292.317414
1391,1298.700831
1392,1294.306653
1393,1289.055996
1394,1283.805388
1395,1274.077297
1396,1261.49765
1397,1247.652255
1398,1232.40928
1399,1218.000986
1400,1203.519028
1401,1188.225046
1402,1172.930983
1403,1157.63681
1404,1142.342689
1405,1127.048572
1406,1111.754432
1407,1098.936752
1408,1083.793905
1409,1074.012843
1410,1064.413111
1411,1054.813294
1412,1045.213466
1413,1035.613647
1414,1026.743227
1415,1017.031299
1416,1005.182504
1417,993.3336112
1418,981.4847845
1419,972.7727751
1420,967.7913219
1421,962.7974687
1422,957.9296596
1423,952.9451639
1424,947.9607208
1425,942.9762561
1426,937.9917514
1427,933.0073208
1428,928.0228077
1429,923.84652
1430,919.9850597
1431,917.4331379
1432,917.7581836
1433,915.4528862
1434,911.6228146
1435,907.7928006
1436,903.9627279
1437,900.1327236
1438,896.3026845
1439,892.4726139
1440,888.6426244
1441,884.8125665
1442,880.7304796
1443,876.7025868
1444,872.2703956
1445,867.8381349
1446,863.4059272
1447,858.9736862
1448,854.5414563
1449,850.1092081
1450,845.6769639
1451,841.2447066
1452,836.8124657
1453,832.380209
1454,827.9479544
1455,821.9718407
1456,815.3243029
1457,807.8914216
1458,800.5830601
1459,793.2746961
1460,785.9662608
1461,778.6578771
1462,771.3495164
1463,773.6509554
1464,779.5726383
1465,785.4943637
1466,791.4160492
1467,797.337797
1468,810.9241162
1469,825.8611855
1470,838.2148826
1471,848.1281692
1472,848.889979
1473,849.6517515
1474,852.1411531
1475,853.6570806
1476,854.4233638
1477,858.0572565
1478,863.026119
1479,867.9950377
1480,875.8912957
1481,881.6584939
1482,887.8519431
1483,910.7481148
1484,933.644019
1485,956.540128
1486,979.436083
1487,1002.331865
1488,1025.227742
1489,1049.930876
1490,1073.221959
1491,1096.085861
1492,1116.065502
1493,1126.856276
1494,1137.647127
1495,1148.437921
1496,1159.228689
1497,1170.019517
1498,1180.104771
1499,1188.619103
1500,1199.58912
1501,1210.559117
1502,1221.529079
1503,1232.499037
1504,1243.468923
1505,1254.43882
1506,1265.408589
1507,1273.075364
1508,1277.83391
1509,1284.187193
1510,1290.540402
1511,1296.893553
1512,1303.246713
1513,1309.599836
1514,1315.952921
1515,1322.189747
1516,1315.488861
1517,1308.788038
1518,1302.087193
1519,1295.386323
1520,1288.685494
1521,1288.596517
1522,1290.430316
1523,1292.264071
1524,1294.097862
1525,1295.931628
1526,1297.765367
1527,1299.599151
1528,1302.852144
1529,1306.994196
1530,1307.086371
1531,1305.775711
1532,1304.465066
1533,1303.154448
1534,1301.843794
1535,1300.533151
1536,1299.222467
1537,1297.911838
1538,1296.601236
1539,1295.290592
1540,1292.382724
1541,1288.391577
1542,1286.433801
1543,1280.925721
1544,1274.87371
1545,1268.821648
1546,1262.769795
1547,1254.352078
1548,1238.770547
1549,1223.188895
1550,1207.607333
1551,1192.025825
1552,1176.4442
1553,1159.406871
1554,1144.331865
1555,1129.493197
1556,1114.654635
1557,1099.816189
1558,1084.97764
1559,1076.834341
1560,1070.744013
1561,1061.648043
1562,1051.812478
1563,1041.32269
1564,1028.402221
1565,1018.592468
1566,1002.698829
1567,985.2566126
1568,967.8144745
1569,963.003904
1570,963.874752
1571,968.0058237
1572,973.580307
1573,981.0185754
1574,988.4568788
1575,997.6864918
1576,1013.208019
1577,1020.320852
1578,1027.433684
1579,1026.063885
1580,1029.38457
1581,1036.322184
1582,1041.25834
1583,1043.015477
1584,1034.604206
1585,1026.192896
1586,1017.781459
1587,1009.37005
1588,1000.958553
1589,997.5357019
1590,998.5431177
1591,999.5505597
1592,1000.557945
1593,1001.565376
1594,1002.417652
1595,1003.574912
1596,1004.732179
1597,1005.88948
1598,1007.046772
1599,1008.204069
1600,1008.801426
1601,1007.242411
1602,1005.683397
1603,1004.124404
1604,1002.56536
1605,999.7226696
1606,992.4171792
1607,984.9535573
1608,973.8055145
1609,962.255147
1610,950.5654678
1611,938.9542288
1612,927.343019
1613,915.7316995
1614,904.120327
1615,899.2133851
1616,894.6221567
1617,890.0309523
1618,886.6057232
1619,876.6561907
1620,870.8647257
1621,873.7302466
1622,876.5957658
1623,879.4612731
1624,885.1449167
1625,895.4512121
1626,905.6132897
1627,914.6188266
1628,923.4668892
1629,930.3313281
1630,935.3705689
1631,938.7031695
1632,931.7972007
1633,925.0601296
1634,928.4192227
1635,933.7987851
1636,938.2151435
1637,941.5066577
1638,944.7982517
1639,948.0897173
1640,951.6628964
1641,959.2941211
1642,966.925377
1643,974.5565664
1644,982.1876463
1645,988.9730032
1646,988.2832152
1647,986.8916529
1648,980.9945644
1649,975.0973466
1650,969.2003813
1651,969.5726995
1652,966.2343541
1653,958.5868673
1654,950.2299591
1655,941.8732766
1656,933.5165762
1657,924.3109628
1658,908.1888779
1659,896.0134234
1660,872.1852523
1661,847.1169581
1662,824.2095352
1663,807.1764922
